frame,id,x1,y1,x2,y2
34,9,614,163,642,225
34,10,888,211,912,283
34,11,810,425,835,520
34,12,801,420,837,519
34,14,814,102,836,158
34,15,814,57,840,102
34,16,464,434,512,525
34,19,814,472,834,520
34,21,576,404,607,496
34,22,903,233,933,307
35,2,680,163,707,234
35,3,1033,200,1060,265
35,4,528,409,589,504
35,5,266,273,305,357
35,6,1085,360,1123,450
35,7,960,95,980,141
35,8,1168,141,1201,198
35,9,612,164,642,225
35,10,884,211,908,280
35,11,810,425,835,520
35,12,790,417,831,513
35,14,810,103,835,158
35,15,814,58,838,103
35,16,460,432,510,525
35,21,579,403,610,488
35,22,903,233,933,308
36,1,629,478,642,491
36,2,678,164,707,233
36,3,1030,201,1058,264
36,4,520,409,587,505
36,5,256,274,302,357
36,6,1268,321,1280,376
36,7,960,94,978,142
36,8,1170,141,1201,198
36,9,610,164,642,225
36,10,880,210,905,279
36,11,1083,358,1119,425
36,12,1076,392,1101,448
36,14,808,103,834,159
36,15,812,57,836,104
36,16,458,430,508,526
36,19,777,415,819,509
36,21,578,405,612,485
36,22,902,233,934,308
37,1,627,478,640,491
37,2,674,164,707,233
37,3,1027,201,1056,264
37,4,521,408,583,504
37,5,249,275,298,357
37,6,1267,292,1280,369
37,7,959,94,977,142
37,8,1172,140,1202,198
37,9,609,164,639,226
37,10,876,210,902,278
37,11,1082,357,1114,424
37,12,1066,387,1099,448
37,13,1071,357,1115,438
37,14,806,104,832,159
37,15,811,57,834,104
37,16,456,428,506,529
37,19,764,415,807,509
37,21,582,407,614,486
37,22,900,233,934,309
38,1,624,477,638,490
38,2,672,165,707,234
38,3,1026,201,1054,265
38,4,520,408,582,506
38,5,246,277,295,358
38,6,1266,284,1280,368
38,7,958,94,976,143
38,8,1173,140,1202,199
38,9,608,164,638,226
38,10,872,210,898,279
38,11,757,416,795,477
38,12,1057,357,1110,449
38,13,1071,357,1115,438
38,14,805,104,831,159
38,15,808,58,830,103
38,16,453,428,502,532
38,19,751,458,776,510
38,21,584,409,618,487
38,22,900,233,935,309
39,1,622,477,635,489
39,2,671,165,706,234
39,3,1026,200,1052,266
39,4,520,406,573,505
39,5,244,276,293,358
39,6,865,210,896,281
39,7,957,95,975,143
39,8,1175,139,1203,199
39,9,606,165,635,227
39,10,865,211,895,281
39,11,1064,358,1105,431
39,12,1051,391,1088,449
39,13,734,417,779,493
39,14,804,105,830,159
39,15,808,57,825,102
39,16,452,429,500,534
39,19,730,444,777,508
39,21,584,410,622,488
39,22,901,234,935,309
39,23,1261,283,1280,367
39,24,1051,380,1096,449
39,25,749,417,779,483
40,1,623,478,633,489
40,2,670,166,705,235
40,3,1023,200,1049,267
40,4,519,402,564,504
40,5,244,277,290,359
40,6,860,212,892,283
40,7,955,95,974,144
40,8,1176,140,1203,199
40,9,606,165,630,227
40,10,861,212,891,283
40,11,1066,359,1100,432
40,12,1045,396,1074,448
40,13,717,419,769,502
40,14,803,105,830,160
40,15,806,57,823,102
40,16,449,430,498,534
40,19,716,460,759,507
40,21,584,411,627,489
40,22,902,234,935,309
40,23,1254,282,1280,368
40,24,1051,380,1096,449
40,25,742,419,769,481
41,1,623,478,633,489
41,2,668,166,703,234
41,3,1019,202,1047,267
41,4,516,401,558,503
41,5,244,275,288,359
41,6,854,214,888,285
41,7,953,95,973,144
41,8,1177,140,1204,199
41,9,606,164,627,227
41,10,855,213,887,285
41,11,1059,362,1096,433
41,12,1039,398,1072,450
41,13,704,422,759,509
41,14,802,106,829,160
41,15,806,57,820,100
41,16,443,431,495,535
41,19,716,460,759,507
41,21,584,410,637,489
41,22,902,234,936,310
41,23,1249,281,1280,367
41,24,1040,387,1078,451
41,25,742,419,769,481
42,1,623,478,633,489
42,2,667,166,700,235
42,3,1016,203,1045,269
42,4,511,398,551,502
42,5,243,275,285,358
42,6,854,214,888,285
42,7,951,96,972,145
42,8,1176,142,1204,200
42,9,606,165,625,228
42,10,854,215,882,285
42,11,1059,362,1096,433
42,12,1039,398,1072,450
42,13,701,425,750,511
42,14,802,106,828,161
42,15,805,57,819,99
42,16,438,431,494,535
42,19,716,460,759,507
42,21,586,408,634,487
42,22,903,234,937,311
42,23,1238,282,1279,369
42,24,1033,365,1090,453
42,25,742,419,769,481
43,1,638,468,650,481
43,2,667,166,695,236
43,3,1014,205,1041,270
43,4,505,397,544,502
43,5,243,274,281,359
43,6,854,214,888,285
43,7,950,97,971,146
43,8,1175,144,1204,202
43,9,604,166,623,229
43,10,852,217,875,285
43,11,1050,367,1086,433
43,12,1039,398,1072,450
43,13,696,444,748,512
43,14,802,107,826,161
43,15,803,59,818,101
43,16,433,431,492,536
43,19,696,457,724,511
43,21,591,407,637,486
43,22,902,235,937,311
43,23,1230,283,1275,369
43,24,1030,388,1078,455
44,1,638,468,650,481
44,2,668,167,691,236
44,3,1011,206,1037,270
44,4,499,396,536,501
44,5,242,274,275,359
44,7,949,99,968,147
44,8,1174,146,1205,202
44,9,600,166,620,229
44,10,845,218,870,286
44,11,1046,369,1081,438
44,12,1026,382,1076,457
44,13,680,424,746,511
44,14,800,107,823,161
44,15,800,58,816,102
44,16,430,430,490,537
44,19,696,457,724,511
44,21,597,404,642,485
44,22,902,236,937,312
44,23,1225,283,1271,370
44,24,1034,368,1081,449
44,25,1055,368,1081,430
45,1,647,462,659,477
45,2,665,166,685,236
45,3,1007,205,1033,271
45,4,490,397,529,501
45,5,240,273,268,358
45,7,948,99,966,146
45,8,1173,148,1205,203
